Id,Result,Aspect.Instrument.Name,Aspect.Name,Value
124669,1448740,DMS_AdviaCentaur_3,DOSE,15.390
124670,1452215,DMS_AdviaCentaur_2,DOSE,1.989
124671,1450254,DMS_AdviaCentaur_3,DOSE,0.940
124672,1452220,DMS_AdviaCentaur_2,DOSE,0.018
124674,1452243,DMS_AdviaCentaur_2,DOSE,0.005
124675,1452279,DMS_AdviaCentaur_2,DOSE,0.004
124677,1452287,DMS_AdviaCentaur_2,DOSE,13.879
124678,1450261,DMS_AdviaCentaur_3,DOSE,0.002
124679,1452292,DMS_AdviaCentaur_2,DOSE,0.014
124681,1450533,DMS_AdviaCentaur_3,DOSE,7.070
124682,1452342,DMS_AdviaCentaur_2,DOSE,0.067
124684,1452536,DMS_AdviaCentaur_2,DOSE,1.320
124686,1452535,DMS_AdviaCentaur_2,DOSE,3.030
124687,1450538,DMS_AdviaCentaur_3,DOSE,115.320
124688,1452537,DMS_AdviaCentaur_2,DOSE,3.164
124690,1452546,DMS_AdviaCentaur_2,DOSE,1.130
124691,1452545,DMS_AdviaCentaur_2,DOSE,3.010
124692,1450537,DMS_AdviaCentaur_3,DOSE,2.300
124693,1450574,DMS_AdviaCentaur_3,DOSE,229.460
124694,1450840,DMS_AdviaCentaur_3,DOSE,> 50.000
124695,1448575,DMS_AdviaCentaur_3,DOSE,6.100
124696,1452547,DMS_AdviaCentaur_2,DOSE,2.003
124697,1448809,DMS_AdviaCentaur_3,DOSE,5.000
124698,1451504,DMS_AdviaCentaur_3,DOSE,35.018
124699,1452640,DMS_AdviaCentaur_2,DOSE,1.240
124700,1448811,DMS_AdviaCentaur_3,DOSE,10.560
124701,1452639,DMS_AdviaCentaur_2,DOSE,3.210
124702,1452293,DMS_AdviaCentaur_3,DOSE,105.020
124703,1452641,DMS_AdviaCentaur_2,DOSE,0.940
124704,1452516,DMS_AdviaCentaur_3,DOSE,3.920
124705,1452650,DMS_AdviaCentaur_2,DOSE,0.012
124706,1448641,DMS_AdviaCentaur_3,DOSE,4.100
124707,1452521,DMS_AdviaCentaur_3,DOSE,101.060
124708,1452664,DMS_AdviaCentaur_2,DOSE,1.020
124709,1452663,DMS_AdviaCentaur_2,DOSE,2.440
124711,1452665,DMS_AdviaCentaur_2,DOSE,1.293
124712,1449180,DMS_AdviaCentaur_3,DOSE,3.000
124713,1452700,DMS_AdviaCentaur_2,DOSE,0.028
124714,1452520,DMS_AdviaCentaur_3,DOSE,1.940
124715,1448714,DMS_AdviaCentaur_3,DOSE,3.400
124716,1449182,DMS_AdviaCentaur_3,DOSE,27.730
124717,1452633,DMS_AdviaCentaur_3,DOSE,> 1000.00
124719,1448739,DMS_AdviaCentaur_3,DOSE,3.600
124721,1452638,DMS_AdviaCentaur_3,DOSE,> 1650.00
124723,1453055,DMS_AdviaCentaur_2,DOSE,0.074
124724,1452637,DMS_AdviaCentaur_3,DOSE,1.730
124725,1453248,DMS_AdviaCentaur_2,DOSE,0.053
124726,1449442,DMS_AdviaCentaur_3,DOSE,3.500
124727,1453259,DMS_AdviaCentaur_2,DOSE,0.970
124728,1453258,DMS_AdviaCentaur_2,DOSE,3.290
124729,1449444,DMS_AdviaCentaur_3,DOSE,9.760
124730,1452961,DMS_AdviaCentaur_3,DOSE,28.672
124731,1453260,DMS_AdviaCentaur_2,DOSE,1.724
124732,1453360,DMS_AdviaCentaur_2,DOSE,1.070
124733,1452979,DMS_AdviaCentaur_3,DOSE,2.060
124734,1453358,DMS_AdviaCentaur_2,DOSE,< 28.0
124735,1453357,DMS_AdviaCentaur_2,DOSE,226.100
124736,1453359,DMS_AdviaCentaur_2,DOSE,2.610
124737,1449718,DMS_AdviaCentaur_3,DOSE,15.800
124738,1453361,DMS_AdviaCentaur_2,DOSE,4.878
124739,1453394,DMS_AdviaCentaur_2,DOSE,11.040
124740,1452983,DMS_AdviaCentaur_3,DOSE,1.840
124741,1449720,DMS_AdviaCentaur_3,DOSE,14.440
124742,1452984,DMS_AdviaCentaur_3,DOSE,62.060
124743,1448810,DMS_AdviaCentaur_3,DOSE,5.400
124744,1453422,DMS_AdviaCentaur_2,DOSE,16.320
124746,1453444,DMS_AdviaCentaur_2,DOSE,1.210
124747,1452985,DMS_AdviaCentaur_3,DOSE,0.000
124749,1453442,DMS_AdviaCentaur_2,DOSE,< 28.0
124750,1453071,DMS_AdviaCentaur_3,DOSE,269.960
124751,1453441,DMS_AdviaCentaur_2,DOSE,< 15.0
124753,1453443,DMS_AdviaCentaur_2,DOSE,3.180
124754,1453123,DMS_AdviaCentaur_3,DOSE,0.008
124755,1453446,DMS_AdviaCentaur_2,DOSE,2.047
124756,1453440,DMS_AdviaCentaur_3,DOSE,7.570
124757,1453806,DMS_AdviaCentaur_2,DOSE,1.280
124758,1449181,DMS_AdviaCentaur_3,DOSE,6.200
124759,1453805,DMS_AdviaCentaur_2,DOSE,2.930
124760,1453807,DMS_AdviaCentaur_2,DOSE,0.878
124762,1453829,DMS_AdviaCentaur_2,DOSE,1.010
124763,1453828,DMS_AdviaCentaur_2,DOSE,2.420
124765,1453830,DMS_AdviaCentaur_2,DOSE,13.371
124766,1453915,DMS_AdviaCentaur_3,DOSE,72.240
124767,1454239,DMS_AdviaCentaur_3,DOSE,0.004
124768,1453916,DMS_AdviaCentaur_2,DOSE,2.950
124770,1453918,DMS_AdviaCentaur_2,DOSE,1.906
124771,1454334,DMS_AdviaCentaur_3,DOSE,1.740
124773,1454339,DMS_AdviaCentaur_3,DOSE,251.160
124774,1453917,DMS_AdviaCentaur_2,DOSE,1.190
124777,1454338,DMS_AdviaCentaur_3,DOSE,1.970
124778,1454051,DMS_AdviaCentaur_2,DOSE,10.000
124780,1454070,DMS_AdviaCentaur_2,DOSE,1.240
124781,1449443,DMS_AdviaCentaur_3,DOSE,5.100
124782,1454068,DMS_AdviaCentaur_2,DOSE,< 28.0
124783,1454365,DMS_AdviaCentaur_3,DOSE,0.020
124784,1454067,DMS_AdviaCentaur_2,DOSE,< 15.0
124785,1454069,DMS_AdviaCentaur_2,DOSE,2.530
124786,1454415,DMS_AdviaCentaur_3,DOSE,> 1000.00
124787,1454071,DMS_AdviaCentaur_2,DOSE,0.915
124788,1454541,DMS_AdviaCentaur_3,DOSE,1.450
124789,1454589,DMS_AdviaCentaur_3,DOSE,> 50.000
124790,1454350,DMS_AdviaCentaur_2,DOSE,28.800
124791,1454530,DMS_AdviaCentaur_2,DOSE,0.940
124792,1454651,DMS_AdviaCentaur_3,DOSE,2.560
124793,1449719,DMS_AdviaCentaur_3,DOSE,9.400
124794,1454529,DMS_AdviaCentaur_2,DOSE,2.880
124795,1454531,DMS_AdviaCentaur_2,DOSE,8.822
124796,1454590,DMS_AdviaCentaur_2,DOSE,1.471
124798,1454656,DMS_AdviaCentaur_3,DOSE,2.190
124799,1454667,DMS_AdviaCentaur_2,DOSE,1.750
124800,1454666,DMS_AdviaCentaur_2,DOSE,4.990
124802,1454668,DMS_AdviaCentaur_2,DOSE,0.056
124803,1454661,DMS_AdviaCentaur_3,DOSE,323.430
124804,1454850,DMS_AdviaCentaur_2,DOSE,1.110
124805,1454849,DMS_AdviaCentaur_2,DOSE,3.370
124807,1454660,DMS_AdviaCentaur_3,DOSE,1.280
124808,1454851,DMS_AdviaCentaur_2,DOSE,3.027
124809,1454949,DMS_AdviaCentaur_2,DOSE,1.280
124811,1454948,DMS_AdviaCentaur_2,DOSE,3.010
124813,1454950,DMS_AdviaCentaur_2,DOSE,1.028
124814,1455137,DMS_AdviaCentaur_2,DOSE,1.300
124815,1450158,DMS_AdviaCentaur_3,DOSE,3.200
124816,1455136,DMS_AdviaCentaur_2,DOSE,2.840
124817,1450160,DMS_AdviaCentaur_3,DOSE,17.930
124818,1454924,DMS_AdviaCentaur_3,DOSE,0.030
124819,1455138,DMS_AdviaCentaur_2,DOSE,1.331
124820,1455032,DMS_AdviaCentaur_3,DOSE,3.300
124821,1455232,DMS_AdviaCentaur_2,DOSE,1.090
124822,1455037,DMS_AdviaCentaur_3,DOSE,88.790
124823,1455230,DMS_AdviaCentaur_2,DOSE,< 28.0
124824,1450251,DMS_AdviaCentaur_3,DOSE,3.300
124825,1455036,DMS_AdviaCentaur_3,DOSE,1.570
124826,1455231,DMS_AdviaCentaur_2,DOSE,3.060
124827,1455233,DMS_AdviaCentaur_2,DOSE,2.167
124828,1455116,DMS_AdviaCentaur_3,DOSE,14.660
124829,1450253,DMS_AdviaCentaur_3,DOSE,20.210
124830,1455129,DMS_AdviaCentaur_3,DOSE,3.010
124831,1455229,DMS_AdviaCentaur_2,DOSE,16.700
124832,1455195,DMS_AdviaCentaur_3,DOSE,47.620
124833,1455246,DMS_AdviaCentaur_2,DOSE,0.305
124834,1455296,DMS_AdviaCentaur_2,DOSE,7.720
124835,1455362,DMS_AdviaCentaur_2,DOSE,1.270
124836,1455361,DMS_AdviaCentaur_2,DOSE,2.480
124837,1455194,DMS_AdviaCentaur_3,DOSE,0.900
124838,1450534,DMS_AdviaCentaur_3,DOSE,11.700
124839,1455363,DMS_AdviaCentaur_2,DOSE,1.221
124840,1455470,DMS_AdviaCentaur_2,DOSE,1.350
124841,1450536,DMS_AdviaCentaur_3,DOSE,17.820
124842,1455469,DMS_AdviaCentaur_2,DOSE,2.750
124843,1455471,DMS_AdviaCentaur_2,DOSE,2.702
124844,1455590,DMS_AdviaCentaur_2,DOSE,17.390
124846,1455589,DMS_AdviaCentaur_2,DOSE,21.340
124847,1455592,DMS_AdviaCentaur_2,DOSE,1.470
124848,1450159,DMS_AdviaCentaur_3,DOSE,6.900
124849,1455591,DMS_AdviaCentaur_2,DOSE,3.600
124852,1455923,DMS_AdviaCentaur_2,DOSE,4.830
124853,1455976,DMS_AdviaCentaur_2,DOSE,0.300
124854,1456023,DMS_AdviaCentaur_2,DOSE,0.860
124855,1452517,DMS_AdviaCentaur_3,DOSE,5.200
124856,1456121,DMS_AdviaCentaur_2,DOSE,42.580
124857,1456188,DMS_AdviaCentaur_2,DOSE,0.120
124859,1456211,DMS_AdviaCentaur_2,DOSE,1.060
124860,1456210,DMS_AdviaCentaur_2,DOSE,2.920
124861,1452519,DMS_AdviaCentaur_3,DOSE,12.200
124862,1456212,DMS_AdviaCentaur_2,DOSE,2.023
124863,1456467,DMS_AdviaCentaur_2,DOSE,1.460
124864,1455247,DMS_AdviaCentaur_3,DOSE,0.006
124865,1456466,DMS_AdviaCentaur_2,DOSE,3.030
124866,1455387,DMS_AdviaCentaur_3,DOSE,6.270
124867,1456468,DMS_AdviaCentaur_2,DOSE,2.391
124868,1450252,DMS_AdviaCentaur_3,DOSE,3.500
124870,1452634,DMS_AdviaCentaur_3,DOSE,50.800
124871,1456474,DMS_AdviaCentaur_2,DOSE,1.310
124873,1456473,DMS_AdviaCentaur_2,DOSE,3.440
124874,1456475,DMS_AdviaCentaur_2,DOSE,1.498
124875,1452636,DMS_AdviaCentaur_3,DOSE,177.810
124876,1456534,DMS_AdviaCentaur_2,DOSE,0.950
124877,1456533,DMS_AdviaCentaur_2,DOSE,2.620
124879,1455390,DMS_AdviaCentaur_3,DOSE,0.720
124880,1456535,DMS_AdviaCentaur_2,DOSE,3.766
124881,1456539,DMS_AdviaCentaur_2,DOSE,0.900
124882,1455803,DMS_AdviaCentaur_3,DOSE,92.390
124883,1450535,DMS_AdviaCentaur_3,DOSE,13.400
124884,1455805,DMS_AdviaCentaur_3,DOSE,24.760
124885,1456537,DMS_AdviaCentaur_2,DOSE,< 28.0
124886,1456536,DMS_AdviaCentaur_2,DOSE,< 15.0
124887,1452980,DMS_AdviaCentaur_3,DOSE,5.500
124888,1456538,DMS_AdviaCentaur_2,DOSE,1.850
124889,1456540,DMS_AdviaCentaur_2,DOSE,2.093
124890,1455846,DMS_AdviaCentaur_3,DOSE,2.420
124891,1456567,DMS_AdviaCentaur_2,DOSE,1.240
124892,1452982,DMS_AdviaCentaur_3,DOSE,25.400
124893,1456565,DMS_AdviaCentaur_2,DOSE,< 28.0
124894,1455851,DMS_AdviaCentaur_3,DOSE,105.570
124895,1456564,DMS_AdviaCentaur_2,DOSE,< 15.0
124896,1456566,DMS_AdviaCentaur_2,DOSE,3.030
124897,1455850,DMS_AdviaCentaur_3,DOSE,0.580
124898,1456568,DMS_AdviaCentaur_2,DOSE,3.862
124899,1456583,DMS_AdviaCentaur_2,DOSE,0.630
124900,1455864,DMS_AdviaCentaur_3,DOSE,2.150
124901,1456634,DMS_AdviaCentaur_2,DOSE,1.050
124902,1456178,DMS_AdviaCentaur_3,DOSE,6.500
124903,1456632,DMS_AdviaCentaur_2,DOSE,< 28.0
124904,1456631,DMS_AdviaCentaur_2,DOSE,39.000
124905,1456183,DMS_AdviaCentaur_3,DOSE,450.880
124906,1456633,DMS_AdviaCentaur_2,DOSE,2.840
124907,1452518,DMS_AdviaCentaur_3,DOSE,6.300
124908,1456635,DMS_AdviaCentaur_2,DOSE,2.321
124909,1456716,DMS_AdviaCentaur_2,DOSE,1.310
124910,1453911,DMS_AdviaCentaur_3,DOSE,58.600
124911,1456715,DMS_AdviaCentaur_2,DOSE,4.270
124912,1456182,DMS_AdviaCentaur_3,DOSE,1.550
124913,1456717,DMS_AdviaCentaur_2,DOSE,2.633
124914,1456923,DMS_AdviaCentaur_2,DOSE,1.210
124915,1456630,DMS_AdviaCentaur_3,DOSE,31.750
124916,1456999,DMS_AdviaCentaur_3,DOSE,10.890
124917,1456922,DMS_AdviaCentaur_2,DOSE,2.680
124918,1456924,DMS_AdviaCentaur_2,DOSE,3.842
124919,1457026,DMS_AdviaCentaur_2,DOSE,10.610
124920,1457273,DMS_AdviaCentaur_2,DOSE,1.520
124921,1457272,DMS_AdviaCentaur_2,DOSE,3.830
124922,1454335,DMS_AdviaCentaur_3,DOSE,22.200
124923,1457274,DMS_AdviaCentaur_2,DOSE,1.791
124924,1452635,DMS_AdviaCentaur_3,DOSE,95.800
124925,1457397,DMS_AdviaCentaur_2,DOSE,1.220
124926,1457396,DMS_AdviaCentaur_2,DOSE,3.580
124927,1457398,DMS_AdviaCentaur_2,DOSE,0.119
124928,1454337,DMS_AdviaCentaur_3,DOSE,64.090
124929,1457420,DMS_AdviaCentaur_2,DOSE,6.900
124930,1457419,DMS_AdviaCentaur_2,DOSE,> 20.00
124931,1457421,DMS_AdviaCentaur_2,DOSE,0.011
124932,1454052,DMS_AdviaCentaur_2,DOSE,13.220
124933,1454364,DMS_AdviaCentaur_3,DOSE,23.180
124934,1457637,DMS_AdviaCentaur_2,DOSE,0.710
124935,1457189,DMS_AdviaCentaur_3,DOSE,0.001
124936,1457636,DMS_AdviaCentaur_2,DOSE,2.200
124937,1457011,DMS_AdviaCentaur_3,DOSE,> 1000.00
124938,1457638,DMS_AdviaCentaur_2,DOSE,0.285
124939,1457710,DMS_AdviaCentaur_2,DOSE,1.350
124940,1457468,DMS_AdviaCentaur_3,DOSE,4.020
124941,1457709,DMS_AdviaCentaur_2,DOSE,2.630
124942,1457012,DMS_AdviaCentaur_3,DOSE,> 1650.00
124944,1457711,DMS_AdviaCentaur_2,DOSE,1.631
124945,1452981,DMS_AdviaCentaur_3,DOSE,7.600
124946,1457403,DMS_AdviaCentaur_3,DOSE,> 1000.00
124947,1457473,DMS_AdviaCentaur_3,DOSE,68.920
124948,1457749,DMS_AdviaCentaur_2,DOSE,1.140
124949,1457748,DMS_AdviaCentaur_2,DOSE,3.460
124950,1457750,DMS_AdviaCentaur_2,DOSE,0.810
124951,1457472,DMS_AdviaCentaur_3,DOSE,0.470
124953,1454657,DMS_AdviaCentaur_3,DOSE,8.200
124956,1457575,DMS_AdviaCentaur_3,DOSE,1.870
124958,1454659,DMS_AdviaCentaur_3,DOSE,11.180
124962,1457578,DMS_AdviaCentaur_3,DOSE,0.180
124964,1457831,DMS_AdviaCentaur_2,DOSE,0.820
124965,1457593,DMS_AdviaCentaur_3,DOSE,4.090
124966,1457899,DMS_AdviaCentaur_2,DOSE,1.230
124967,1457898,DMS_AdviaCentaur_2,DOSE,3.200
124968,1459871,DMS_AdviaCentaur_2,DOSE,0.690
124969,1457900,DMS_AdviaCentaur_2,DOSE,1.587
124970,1457942,DMS_AdviaCentaur_2,DOSE,0.880
124971,1455033,DMS_AdviaCentaur_3,DOSE,9.200
124972,1457941,DMS_AdviaCentaur_2,DOSE,2.210
124973,1459919,DMS_AdviaCentaur_3,DOSE,50.380
124974,1457943,DMS_AdviaCentaur_2,DOSE,2.485
124975,1459933,DMS_AdviaCentaur_3,DOSE,66.140
124976,1459964,DMS_AdviaCentaur_2,DOSE,656.600
124977,1455035,DMS_AdviaCentaur_3,DOSE,12.430
124978,1460033,DMS_AdviaCentaur_2,DOSE,> 500.0
124979,1460049,DMS_AdviaCentaur_3,DOSE,0.000
124980,1460063,DMS_AdviaCentaur_2,DOSE,2.410
124981,1457596,DMS_AdviaCentaur_3,DOSE,1.070
124982,1460094,DMS_AdviaCentaur_2,DOSE,20.943
124984,1455593,DMS_AdviaCentaur_2,DOSE,2.137
124985,1454336,DMS_AdviaCentaur_3,DOSE,7.500
124986,1458021,DMS_AdviaCentaur_3,DOSE,0.095
124987,1454351,DMS_AdviaCentaur_2,DOSE,7.150
124988,1458176,DMS_AdviaCentaur_2,DOSE,1.010
124989,1458027,DMS_AdviaCentaur_3,DOSE,0.010
124990,1458175,DMS_AdviaCentaur_2,DOSE,2.780
124991,1455191,DMS_AdviaCentaur_3,DOSE,6.600
124992,1458048,DMS_AdviaCentaur_3,DOSE,0.990
124993,1458177,DMS_AdviaCentaur_2,DOSE,6.216
124994,1458278,DMS_AdviaCentaur_2,DOSE,1.360
124995,1458276,DMS_AdviaCentaur_2,DOSE,< 28.0
124996,1458349,DMS_AdviaCentaur_3,DOSE,1.440
124997,1458275,DMS_AdviaCentaur_2,DOSE,< 15.0
124998,1458277,DMS_AdviaCentaur_2,DOSE,2.640
124999,1458354,DMS_AdviaCentaur_3,DOSE,18.570
125000,1458279,DMS_AdviaCentaur_2,DOSE,0.675
125001,1458486,DMS_AdviaCentaur_2,DOSE,1.150
125002,1455193,DMS_AdviaCentaur_3,DOSE,29.130
125003,1458484,DMS_AdviaCentaur_2,DOSE,< 28.0
125004,1458353,DMS_AdviaCentaur_3,DOSE,0.000
125006,1458483,DMS_AdviaCentaur_2,DOSE,217.500
125007,1458485,DMS_AdviaCentaur_2,DOSE,2.670
125009,1458487,DMS_AdviaCentaur_2,DOSE,1.459
125017,1454658,DMS_AdviaCentaur_3,DOSE,10.100
125019,1458446,DMS_AdviaCentaur_3,DOSE,1.830
125023,1458773,DMS_AdviaCentaur_3,DOSE,4.110
125030,1458775,DMS_AdviaCentaur_3,DOSE,1.790
125033,1458602,DMS_AdviaCentaur_2,DOSE,1.210
125034,1458797,DMS_AdviaCentaur_3,DOSE,5.070
125036,1458601,DMS_AdviaCentaur_2,DOSE,3.110
125037,1458603,DMS_AdviaCentaur_2,DOSE,5.459
125038,1458802,DMS_AdviaCentaur_3,DOSE,134.370
125039,1458716,DMS_AdviaCentaur_2,DOSE,1.160
125040,1458715,DMS_AdviaCentaur_2,DOSE,2.530
125041,1455034,DMS_AdviaCentaur_3,DOSE,4.200
125042,1458717,DMS_AdviaCentaur_2,DOSE,9.676
125043,1458801,DMS_AdviaCentaur_3,DOSE,0.900
125044,1458808,DMS_AdviaCentaur_2,DOSE,1.280
125045,1458806,DMS_AdviaCentaur_2,DOSE,256.400
125046,1455388,DMS_AdviaCentaur_3,DOSE,6.300
125047,1458805,DMS_AdviaCentaur_2,DOSE,> 500.0
125048,1458807,DMS_AdviaCentaur_2,DOSE,3.200
125050,1458809,DMS_AdviaCentaur_2,DOSE,5.887
125051,1458849,DMS_AdviaCentaur_2,DOSE,1.460
125053,1458848,DMS_AdviaCentaur_2,DOSE,3.340
125054,1458884,DMS_AdviaCentaur_3,DOSE,2.130
125055,1458850,DMS_AdviaCentaur_2,DOSE,0.828
125056,1458949,DMS_AdviaCentaur_2,DOSE,1.220
125057,1455192,DMS_AdviaCentaur_3,DOSE,3.100
125058,1458948,DMS_AdviaCentaur_2,DOSE,3.240
125059,1458950,DMS_AdviaCentaur_2,DOSE,2.247
125061,1459054,DMS_AdviaCentaur_2,DOSE,1.540
125062,1458887,DMS_AdviaCentaur_3,DOSE,0.990
125063,1459156,DMS_AdviaCentaur_2,DOSE,0.044
125065,1458919,DMS_AdviaCentaur_3,DOSE,0.001
125066,1459524,DMS_AdviaCentaur_2,DOSE,12.770
125067,1459591,DMS_AdviaCentaur_2,DOSE,1.120
125069,1459590,DMS_AdviaCentaur_2,DOSE,3.730
125070,1459592,DMS_AdviaCentaur_2,DOSE,3.631
125072,1459225,DMS_AdviaCentaur_3,DOSE,5.280
125073,1459651,DMS_AdviaCentaur_2,DOSE,1.100
125074,1459227,DMS_AdviaCentaur_3,DOSE,2.340
125075,1459649,DMS_AdviaCentaur_2,DOSE,> 1300.0
125076,1455847,DMS_AdviaCentaur_3,DOSE,5.400
125077,1459648,DMS_AdviaCentaur_2,DOSE,311.100
125078,1459324,DMS_AdviaCentaur_3,DOSE,36.070
125079,1459650,DMS_AdviaCentaur_2,DOSE,2.910
125080,1455849,DMS_AdviaCentaur_3,DOSE,8.010
125081,1459415,DMS_AdviaCentaur_3,DOSE,6.660
125082,1459652,DMS_AdviaCentaur_2,DOSE,18.283
125083,1459692,DMS_AdviaCentaur_2,DOSE,0.960
125084,1459417,DMS_AdviaCentaur_3,DOSE,3.560
125085,1459691,DMS_AdviaCentaur_2,DOSE,2.490
125086,1459630,DMS_AdviaCentaur_3,DOSE,5.130
125087,1459693,DMS_AdviaCentaur_2,DOSE,24.806
125088,1459741,DMS_AdviaCentaur_2,DOSE,1.260
125089,1456179,DMS_AdviaCentaur_3,DOSE,9.800
125090,1459740,DMS_AdviaCentaur_2,DOSE,3.230
125091,1459635,DMS_AdviaCentaur_3,DOSE,257.950
125092,1459742,DMS_AdviaCentaur_2,DOSE,3.106
125093,1459756,DMS_AdviaCentaur_2,DOSE,1.280
125094,1456181,DMS_AdviaCentaur_3,DOSE,10.880
125095,1459754,DMS_AdviaCentaur_2,DOSE,< 28.0
125096,1459634,DMS_AdviaCentaur_3,DOSE,3.220
125097,1459753,DMS_AdviaCentaur_2,DOSE,15.000
125099,1459755,DMS_AdviaCentaur_2,DOSE,3.880
125100,1459704,DMS_AdviaCentaur_3,DOSE,0.001
125101,1459757,DMS_AdviaCentaur_2,DOSE,1.798
125102,1459762,DMS_AdviaCentaur_3,DOSE,3.590
125103,1459769,DMS_AdviaCentaur_2,DOSE,44.000
125104,1459768,DMS_AdviaCentaur_2,DOSE,2.270
125105,1459782,DMS_AdviaCentaur_2,DOSE,0.720
125106,1455389,DMS_AdviaCentaur_3,DOSE,4.800
125107,1459781,DMS_AdviaCentaur_2,DOSE,1.910
125108,1459767,DMS_AdviaCentaur_3,DOSE,130.050
125109,1459783,DMS_AdviaCentaur_2,DOSE,0.635
125110,1456998,DMS_AdviaCentaur_3,DOSE,> 700.00
125111,1459815,DMS_AdviaCentaur_2,DOSE,3.820
125112,1459766,DMS_AdviaCentaur_3,DOSE,2.020
125113,1459813,DMS_AdviaCentaur_2,DOSE,211.700
125114,1459812,DMS_AdviaCentaur_2,DOSE,> 500.0
125115,1459814,DMS_AdviaCentaur_2,DOSE,12.700
125116,1459841,DMS_AdviaCentaur_3,DOSE,0.016
125117,1459816,DMS_AdviaCentaur_2,DOSE,0.015
125118,1459854,DMS_AdviaCentaur_3,DOSE,0.063
125119,1459921,DMS_AdviaCentaur_2,DOSE,1.350
125120,1460088,DMS_AdviaCentaur_3,DOSE,2.410
125121,1459920,DMS_AdviaCentaur_2,DOSE,3.130
125122,1460093,DMS_AdviaCentaur_3,DOSE,42.530
125123,1459922,DMS_AdviaCentaur_2,DOSE,1.066
125124,1460092,DMS_AdviaCentaur_3,DOSE,1.050
125125,1460050,DMS_AdviaCentaur_2,DOSE,8.900
125126,1460104,DMS_AdviaCentaur_2,DOSE,373.000
125127,1457469,DMS_AdviaCentaur_3,DOSE,6.900
125128,1460103,DMS_AdviaCentaur_2,DOSE,9.450
125129,1460189,DMS_AdviaCentaur_2,DOSE,> 50.000
125130,1460205,DMS_AdviaCentaur_2,DOSE,1.190
125131,1460133,DMS_AdviaCentaur_3,DOSE,26.110
125132,1460204,DMS_AdviaCentaur_2,DOSE,2.590
125133,1457471,DMS_AdviaCentaur_3,DOSE,10.410
125134,1460206,DMS_AdviaCentaur_2,DOSE,2.057
125135,1460174,DMS_AdviaCentaur_3,DOSE,0.750
